timestamp,x,y,z
0,2.04,-3.93,9.12
10,2.06,-3.95,8.89
20,2.07,-3.99,8.71
30,2.07,-3.99,8.58
40,2.11,-4.0,8.44
50,2.16,-4.05,8.43
60,2.26,-4.09,8.55
70,2.37,-4.08,8.74
80,2.51,-4.09,8.8
90,2.63,-4.09,8.8
100,2.72,-4.08,8.57
110,2.68,-4.03,8.2
120,2.47,-3.93,7.62
130,2.16,-3.8,7.09
140,1.77,-3.63,6.66
150,1.2,-3.49,6.35
160,0.51,-3.38,6.12
170,-0.32,-3.1,5.8
180,-1.37,-2.48,5.13
190,-3.04,-1.83,4.0
200,-5.58,-1.39,3.18
210,-9.83,-1.75,4.02
220,-11.01,0.49,3.04
230,-10.3,1.35,1.89
240,-7.81,1.75,0.01
250,-4.58,1.86,-2.1
260,-1.53,1.76,-3.63
270,0.62,1.77,-4.11
280,1.9,2.16,-3.68
290,2.4,2.83,-2.52
300,2.17,3.84,-0.67
310,1.84,5.26,1.79
320,1.8,6.35,4.85
330,2.02,7.0,8.11
340,3.15,7.32,11.35
350,4.22,7.69,14.77
360,5.06,8.23,18.06
370,5.99,8.72,21.53
380,7.53,8.68,24.45
390,9.83,8.24,26.13
400,12.44,7.37,25.97
410,14.08,6.35,23.13
420,13.36,5.35,18.65
430,11.69,4.56,14.48
440,9.81,3.76,11.64
450,8.19,2.97,10.27
460,7.02,2.53,9.85
470,6.17,2.18,9.6
480,5.75,1.74,9.09
490,5.93,1.69,8.29
500,6.62,1.77,7.65
510,7.32,1.75,7.44
520,7.4,1.79,7.8
530,6.99,1.87,8.89
540,6.66,2.15,10.62
550,6.32,2.51,12.68
560,6.06,2.9,14.92
570,5.86,3.35,17.14
580,5.75,3.73,19.23
590,5.3,4.03,21.05
600,4.74,4.4,22.23
610,3.94,4.92,22.22
620,3.11,5.47,20.88
630,2.88,5.66,18.61
640,3.03,5.4,16.77
650,3.55,5.5,15.29
660,4.1,5.38,14.31
670,4.54,5.26,13.75
680,5.1,5.27,13.53
690,5.59,5.22,13.81
700,5.9,5.08,14.08
710,6.32,5.07,13.76
720,6.4,5.28,12.64
730,6.2,5.44,10.5
740,5.45,5.09,8.16
750,4.83,4.34,6.0
760,4.5,3.47,4.34
770,4.74,2.6,3.79
780,5.38,1.96,4.36
790,6.32,1.47,5.72
800,7.25,0.99,7.16
810,7.76,0.76,7.5
820,7.62,0.7,6.66
830,7.01,0.63,4.8
840,6.21,0.41,2.62
850,5.45,0.01,0.53
860,4.71,-0.51,-1.18
870,3.81,-1.07,-2.62
880,2.85,-1.78,-3.75
890,2.08,-2.49,-4.43
900,1.63,-3.23,-4.88
910,1.49,-3.92,-5.05
920,1.49,-4.47,-5.07
930,1.47,-4.97,-4.92
940,1.3,-5.41,-4.49
950,1.15,-5.55,-3.65
960,1.59,-5.57,-2.26
970,2.52,-5.8,-0.53
980,3.51,-6.1,1.18
990,4.03,-6.24,2.82
1000,3.99,-6.36,4.16
